n,w,time,res
0,25,28,0
2,25,142,16
4,25,356,33
6,25,1268,45
8,25,4875,59
10,25,19200,59
12,25,75292,62
14,25,281726,76
16,25,879717,76
18,25,3550299,76
20,25,14002206,76
22,25,57021636,91
24,25,229751545,91
26,25,913355279,91
28,25,3629927916,91
