n,w,time,res
31,4,1068,13
32,4,1102,13
33,4,1142,13
34,4,1178,13
35,4,1206,13
36,4,1240,13
37,4,1276,13
38,4,1304,13
39,4,1332,13
40,4,1360,13
41,4,1399,13
42,4,1444,13
43,4,1465,13
44,4,1494,13
45,4,1528,13
46,4,1569,13
47,4,1882,13
48,4,1640,13
49,4,1665,13
50,4,1707,13
51,4,1748,13
52,4,1782,13
53,4,1825,13
54,4,1848,13
55,4,1878,13
56,4,1921,13
57,4,1934,13
58,4,1965,13
59,4,2002,13
60,4,2039,13
61,4,2068,13
62,4,2391,13
63,4,2148,13
64,4,2176,13
65,4,2216,13
66,4,2241,13
67,4,2260,13
68,4,2834,13
69,4,2790,13
70,4,2447,13
71,4,2480,13
72,4,2517,13
73,4,2541,13
74,4,2617,13
75,4,2627,13
76,4,2659,13
77,4,2712,13
78,4,2738,13
79,4,2779,13
80,4,2822,13
81,4,2860,13
82,4,2896,13
83,4,2947,14
84,4,3369,14
85,4,3022,14
86,4,3061,15
87,4,3106,15
88,4,3143,15
89,4,3182,15
90,4,3217,15
91,4,3260,15
92,4,3284,15
93,4,3343,15
94,4,3349,15
95,4,3400,15
96,4,3449,15
97,4,3470,15
98,4,4749,15
99,4,3521,15
0,5,62,0
1,5,111,1
2,5,148,4
3,5,187,4
4,5,234,7
5,5,270,9
6,5,313,9
7,5,131186,9
8,5,433,11
9,5,475,11
10,5,532,11
11,5,576,11
12,5,618,12
13,5,655,12
14,5,704,14
15,5,752,14
16,5,788,14
17,5,832,14
18,5,873,14
19,5,912,14
20,5,949,14
21,5,996,16
22,5,1050,16
23,5,1090,16
24,5,1124,16
25,5,2021,16
26,5,1184,16
27,5,1235,16
28,5,1278,16
29,5,1357,16
30,5,1810,16
31,5,1365,16
32,5,1398,16
33,5,2290,16
34,5,1485,16
35,5,1516,16
36,5,1568,16
37,5,1605,16
38,5,1655,16
39,5,1694,16
40,5,1747,16
41,5,1767,16
42,5,1817,17
43,5,1852,17
44,5,1889,17
45,5,1937,17
46,5,1984,17
47,5,2421,17
48,5,2345,17
49,5,2075,17
50,5,2120,17
51,5,2176,17
52,5,2221,17
53,5,2284,18
54,5,2310,18
55,5,2353,18
56,5,2392,18
57,5,2432,18
58,5,2477,18
59,5,2527,18
60,5,2873,18
61,5,2628,18
62,5,2659,18
63,5,2707,19
64,5,2740,19
65,5,2788,19
66,5,2832,19
67,5,2888,20
68,5,2934,20
69,5,2976,20
70,5,3303,20
71,5,3089,20
72,5,3111,20
73,5,3163,20
74,5,3210,20
75,5,3256,20
76,5,3296,20
77,5,3838,20
78,5,3399,20
79,5,218489,20
80,5,3508,20
81,5,3558,20
82,5,4111,20
83,5,3989,21
84,5,5517,21
85,5,3775,21
86,5,3806,22
87,5,3855,22
88,5,3910,22
89,5,4441,22
90,5,3991,22
91,5,4048,22
92,5,4100,22
93,5,4827,22
94,5,4164,22
95,5,4222,22
96,5,4576,22
97,5,4693,22
98,5,4198,22
99,5,6377,22
0,6,64,0
1,6,122,1
2,6,163,4
3,6,210,4
4,6,264,8
5,6,307,11
6,6,354,11
7,6,397,11
8,6,454,14
9,6,496,14
10,6,552,14
11,6,601,15
12,6,646,15
13,6,685,15
14,6,742,18
15,6,789,18
16,6,822,18
17,6,874,18
18,6,913,18
19,6,999,18
20,6,1031,18
21,6,1084,20
22,6,2606,20
23,6,1736,20
24,6,1741,20
25,6,1698,20
26,6,1939,20
27,6,1975,20
28,6,1987,20
29,6,2069,20
30,6,2184,20
31,6,2265,20
32,6,2012,20
33,6,1630,20
34,6,6851,20
35,6,1707,20
36,6,2253,20
37,6,1906,21
38,6,1968,21
39,6,2010,21
40,6,2058,21
41,6,2101,21
42,6,2162,24
43,6,2207,24
44,6,3093,24
45,6,2306,24
46,6,2392,24
47,6,2437,24
48,6,2483,24
49,6,2893,24
50,6,2518,24
51,6,135442,24
52,6,2628,24
53,6,2682,24
54,6,2722,24
55,6,2782,24
56,6,2832,24
57,6,2872,24
58,6,2932,24
59,6,2991,24
60,6,3038,24
61,6,3095,24
62,6,3162,25
63,6,3221,27
64,6,3259,27
65,6,3752,27
66,6,3672,27
67,6,3621,28
68,6,3492,28
69,6,3549,28
70,6,3844,28
71,6,3656,28
72,6,3693,28
73,6,4254,28
74,6,3810,28
75,6,3863,28
76,6,4436,28
77,6,4103,28
78,6,4158,28
79,6,4218,28
80,6,4577,28
81,6,4335,28
82,6,4385,28
83,6,5548,30
84,6,4526,30
85,6,4568,30
86,6,4948,32
87,6,4670,32
88,6,4745,32
89,6,6444,32
90,6,5118,32
91,6,5417,32
92,6,5771,32
93,6,4753,32
94,6,4776,32
95,6,5172,32
96,6,5672,32
97,6,5249,32
98,6,5285,32
99,6,5593,32
0,7,68,0
1,7,134,1
2,7,184,5
3,7,240,5
4,7,307,9
5,7,357,13
6,7,416,13
7,7,468,13
8,7,535,16
9,7,583,16
10,7,654,16
11,7,716,16
12,7,765,16
13,7,816,16
14,7,893,20
15,7,42889,20
16,7,992,20
17,7,1058,20
18,7,1100,20
19,7,1152,20
20,7,1197,20
21,7,1262,22
22,7,1711,22
23,7,1317,22
24,7,1368,22
25,7,1431,25
26,7,1477,25
27,7,1543,25
28,7,1602,25
29,7,1657,25
30,7,2751,25
31,7,1746,25
32,7,1799,25
33,7,1851,25
34,7,1923,25
35,7,1964,25
36,7,2019,25
37,7,15513,28
38,7,3264,28
39,7,2206,28
40,7,4226,28
41,7,2770,28
42,7,2549,29
43,7,2403,29
44,7,2455,29
45,7,2500,29
46,7,2554,29
47,7,2619,29
48,7,2696,29
49,7,2774,29
50,7,2815,29
51,7,2875,29
52,7,2931,29
53,7,3000,29
54,7,3721,29
55,7,3126,29
56,7,3166,29
57,7,3229,29
58,7,4108,29
59,7,3340,29
60,7,3380,29
61,7,3462,29
62,7,3519,29
63,7,3584,31
64,7,3635,31
65,7,3708,31
66,7,4144,31
67,7,3823,31
68,7,3887,31
69,7,3940,31
70,7,3991,31
71,7,4576,31
72,7,4478,31
73,7,4875,31
74,7,4500,31
75,7,4564,31
76,7,4625,31
77,7,4704,31
78,7,5133,31
79,7,5014,33
80,7,4780,33
81,7,4830,33
82,7,4893,33
83,7,6716,36
84,7,5079,36
85,7,7500,36
86,7,5205,39
87,7,5263,39
88,7,5339,39
89,7,6030,39
90,7,6553,39
91,7,5865,39
92,7,5923,39
93,7,5989,39
94,7,6434,39
95,7,6712,39
96,7,6587,39
97,7,6076,39
98,7,6348,39
99,7,6730,39
0,8,73,0
1,8,156,2
2,8,212,6
3,8,277,6
4,8,357,10
5,8,416,16
6,8,488,16
7,8,544,16
8,8,624,19
9,8,694,19
10,8,765,19
11,8,832,19
12,8,896,21
13,8,957,21
14,8,1049,25
15,8,1111,25
16,8,1181,25
17,8,1255,25
18,8,1317,25
19,8,2036,25
20,8,1438,25
21,8,1514,27
22,8,1573,27
23,8,1647,27
24,8,1714,27
25,8,2173,29
26,8,1792,29
27,8,3004,30
28,8,1921,30
29,8,1988,30
30,8,2045,30
31,8,2097,30
32,8,2162,30
33,8,2211,30
34,8,2287,30
35,8,2335,30
36,8,2414,30
37,8,2481,33
38,8,2941,33
39,8,2544,33
40,8,2593,33
41,8,2645,33
42,8,2734,34
43,8,2780,34
44,8,2844,34
45,8,2906,34
46,8,2980,34
47,8,3056,34
48,8,3122,34
49,8,3851,34
50,8,3942,34
51,8,4243,34
52,8,3443,34
53,8,3484,36
54,8,3536,36
55,8,3611,36
56,8,3659,36
57,8,4261,36
58,8,3799,36
59,8,3866,36
60,8,3936,36
61,8,4561,36
62,8,4201,38
63,8,4281,41
64,8,6490,41
65,8,4619,41
66,8,4668,41
67,8,4758,41
68,8,4829,41
69,8,4921,41
70,8,6064,41
71,8,5400,41
72,8,5477,41
73,8,5549,41
74,8,5639,41
75,8,6622,41
76,8,6020,41
77,8,6098,41
78,8,8276,41
79,8,6277,41
80,8,6743,41
81,8,7745,41
82,8,6553,41
83,8,6806,45
84,8,11241,45
85,8,7771,45
86,8,9180,45
87,8,8387,45
88,8,8146,45
89,8,8145,45
90,8,8379,45
91,8,8867,45
92,8,8548,45
93,8,8639,45
94,8,8727,45
95,8,8958,45
96,8,8631,45
97,8,8596,45
98,8,9255,45
99,8,8843,45
