n,w,time,res
0,10000,22727,0
1,10000,231651,1316
2,10000,221051,5903
3,10000,378138,5903
4,10000,661909,12692
5,10000,619037,17452
6,10000,527077,17452
7,10000,633521,17452
8,10000,716637,22750
9,10000,717635,22750
10,10000,806187,22750
11,10000,873411,25466
12,10000,1760781,25466
13,10000,3380277,25466
14,10000,1611765,32006
15,10000,1218674,32150
16,10000,1318345,32150
17,10000,1426287,32150
18,10000,1540143,32150
19,10000,1546705,32150
20,10000,1550019,32150
21,10000,1684331,36781
22,10000,1839091,36781
23,10000,1808283,36781
24,10000,1850275,36781
25,10000,1961786,36781
26,10000,2123806,36781
27,10000,2189275,36884
28,10000,2198936,36884
29,10000,2215779,38746
30,10000,2602126,38746
31,10000,2404346,38746
32,10000,2421122,38746
33,10000,2540302,38746
34,10000,2653410,38746
35,10000,2604585,38746
36,10000,2781679,38746
37,10000,2915707,43273
38,10000,2962498,43273
39,10000,3192978,43273
40,10000,2953795,43273
41,10000,3100926,43273
42,10000,3375649,48543
43,10000,3546183,48543
44,10000,3501835,48543
45,10000,3482148,48543
46,10000,3503545,48857
47,10000,3655872,48857
48,10000,3636486,48857
49,10000,4056010,48857
50,10000,3792561,48857
51,10000,3968073,48857
52,10000,3997755,48857
53,10000,4065305,51510
54,10000,4238942,51510
55,10000,4241687,51510
56,10000,4253090,51510
57,10000,4567202,51510
58,10000,4476531,51510
59,10000,4868346,51510
60,10000,4610420,51510
61,10000,4674381,54256
62,10000,4818446,58399
63,10000,5289724,62752
64,10000,5139282,62752
65,10000,5074125,62752
66,10000,5230778,62752
67,10000,5345715,63849
68,10000,5354918,63849
69,10000,5352922,63849
70,10000,8809630,63849
71,10000,5520879,63849
72,10000,5795672,63849
73,10000,5674772,63849
74,10000,6353368,66076
75,10000,6039520,66076
76,10000,6098673,66076
77,10000,6350364,66076
78,10000,6203720,66076
79,10000,6196228,69618
80,10000,6464849,69618
81,10000,6626418,69618
82,10000,6489942,69618
83,10000,7081599,75957
84,10000,6608830,75957
85,10000,6669608,75957
86,10000,7414274,80637
87,10000,7017401,80637
88,10000,7039692,82751
89,10000,7241001,82751
90,10000,7340963,82751
91,10000,7273542,82751
92,10000,7432568,82751
93,10000,7645523,82751
94,10000,7572801,82751
95,10000,7679958,82751
96,10000,7629387,82751
97,10000,7877440,82751
98,10000,7762681,82751
99,10000,8048469,82751
