n,w,time,res
16,7,2647,19
17,7,2870,19
18,7,2896,19
19,7,3036,19
20,7,3238,23
21,7,3346,23
22,7,3561,27
23,7,3684,27
24,7,3812,27
25,7,3963,27
26,7,4128,27
27,7,4253,27
28,7,4418,27
29,7,4534,27
30,7,4618,27
31,7,4729,27
32,7,4949,30
33,7,5210,31
34,7,5391,31
35,7,5538,31
36,7,5653,31
37,7,5687,31
38,7,5954,32
39,7,6110,32
40,7,6219,32
41,7,6282,32
42,7,6486,32
43,7,6651,32
44,7,6837,32
45,7,7001,32
46,7,7110,32
47,7,7263,32
48,7,7381,32
49,7,7562,32
0,8,120,0
1,8,197,2
2,8,314,5
3,8,529,8
4,8,754,9
5,8,941,11
6,8,1114,18
7,8,1327,18
8,8,1563,20
9,8,1809,20
10,8,1916,20
11,8,2051,20
12,8,2219,20
13,8,2459,21
14,8,2715,21
15,8,2923,21
16,8,3111,21
17,8,3287,21
18,8,3371,21
19,8,3512,21
20,8,3711,21
21,8,3868,21
22,8,4082,21
23,8,4146,21
24,8,4359,22
25,8,4529,22
26,8,4879,24
27,8,4916,24
28,8,6323,24
29,8,6184,24
30,8,6412,24
31,8,6589,24
32,8,6907,24
33,8,6888,24
34,8,7185,26
35,8,7489,27
36,8,7701,27
37,8,7866,27
38,8,8121,27
39,8,8321,27
40,8,8485,27
41,8,8791,29
42,8,8951,29
43,8,9076,29
44,8,9366,33
45,8,9642,33
46,8,11069,33
47,8,11151,33
48,8,11623,33
49,8,11684,33
0,9,126,0
1,9,414,6
2,9,787,9
3,9,1108,18
4,9,1398,21
5,9,1559,21
6,9,1660,21
7,9,1983,21
8,9,2252,25
9,9,2425,25
10,9,2640,25
11,9,2917,25
12,9,3021,25
13,9,3316,25
14,9,3648,31
15,9,3869,31
16,9,4091,31
17,9,4249,31
18,9,4576,31
19,9,4867,31
20,9,5185,38
21,9,5465,38
22,9,5607,38
23,9,5935,38
24,9,6339,42
25,9,6688,46
26,9,6868,46
27,9,7853,46
28,9,7483,46
29,9,9739,46
30,9,13917,46
31,9,13124,46
32,9,13204,46
33,9,10992,46
34,9,9061,46
35,9,9688,46
36,9,8490,46
37,9,8605,46
38,9,8934,46
39,9,9123,46
40,9,9578,52
41,9,9734,52
42,9,10016,52
43,9,10402,52
44,9,10578,52
45,9,10783,52
46,9,11116,52
47,9,11327,52
48,9,12053,52
49,9,11840,52
